"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","DT_Healthy","DT_Salty","DT_Sugary","DT_Total","Rel_DT_Salty","Rel_DT_Sugary","Rel_DT_Unhealthy","first_fix_Salty","first_fix_Sugary","first_fix_Unhealthy","FixCount_Healthy","FixCount_Salty","FixCount_Sugary","FixCount_Total","Rel_FixCount_Salty","Rel_FixCount_Sugary","Rel_FixCount_Unhealthy"
"Students12",60,75,67.5,37,"FF","FL",1,440,1,432,865.985,NA,1297.99,0.67,NA,0.67,1,NA,1,1,5,NA,6,0.83,NA,0.83
"Students12",60,75,67.5,38,"FL","FF",1,525,0,632.013,831.999,NA,1464.01,0.57,NA,0.57,0,NA,0,2,3,NA,5,0.6,NA,0.6
"Students12",60,75,67.5,39,"FF","FL",1,596,0,816,349.005,NA,1165.01,0.3,NA,0.3,0,NA,0,5,1,NA,6,0.17,NA,0.17
"Students12",60,75,67.5,4,"FL","FF",1,684,1,466.995,748.992,NA,1215.99,0.62,NA,0.62,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students12",60,75,67.5,40,"FL","FF",1,364,1,367.014,848.999,NA,1216.01,0.7,NA,0.7,0,NA,0,2,3,NA,5,0.6,NA,0.6
"Students12",60,75,67.5,41,"FS","FL",1,555,1,366.003,NA,1115.993,1482,NA,0.75,0.75,NA,1,1,1,NA,3,4,NA,0.75,0.75
"Students12",60,75,67.5,42,"FL","FS",1,700,0,766.003,NA,151.002,917,NA,0.16,0.16,NA,0,0,3,NA,1,4,NA,0.25,0.25
"Students12",60,75,67.5,43,"FS","FL",1,491,0,917.005,NA,432.998,1350,NA,0.32,0.32,NA,1,1,3,NA,2,5,NA,0.4,0.4
"Students12",60,75,67.5,44,"FL","FS",1,539,1,1350.004,NA,216,1566,NA,0.14,0.14,NA,0,0,3,NA,1,4,NA,0.25,0.25
"Students12",60,75,67.5,45,"FS","FL",1,480,1,547.993,NA,798.016,1346.01,NA,0.59,0.59,NA,1,1,2,NA,3,5,NA,0.6,0.6
"Students12",60,75,67.5,46,"FL","FS",1,688,0,632.985,NA,717.005,1349.99,NA,0.53,0.53,NA,0,0,3,NA,3,6,NA,0.5,0.5
"Students12",60,75,67.5,47,"FS","FL",1,548,0,715.008,NA,448.001,1163.01,NA,0.39,0.39,NA,1,1,3,NA,2,5,NA,0.4,0.4
"Students12",60,75,67.5,48,"FL","FS",1,502,1,317.991,NA,1083.008,1401,NA,0.77,0.77,NA,0,0,2,NA,5,7,NA,0.71,0.71
"Students12",60,75,67.5,49,"FS","FL",1,532,1,949.004,NA,517.004,1466.01,NA,0.35,0.35,NA,1,1,3,NA,2,5,NA,0.4,0.4
