"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","AOI_visited","DT","First_Fix","n"
"Guest06",40,30,35,80,"FL","FS",1,581,1,"Sugary",696.999,1,2
"Guest06",40,30,35,9,"FF","FL",1,575,1,"Healthy",1015.001,0,3
"Guest06",40,30,35,9,"FF","FL",1,575,1,"Salty",383.002,1,1
"Guest07",10,0,5,1,"FF","FL",1,440,1,"Healthy",249.997,1,1
"Guest07",10,0,5,12,"FL","FF",1,519,1,"Healthy",532.992,1,2
"Guest07",10,0,5,12,"FL","FF",1,519,1,"Salty",883.009,0,3
"Guest07",10,0,5,16,"FL","FF",1,396,1,"Healthy",532.006,1,2
"Guest07",10,0,5,16,"FL","FF",1,396,1,"Salty",547.994,0,2
"Guest07",10,0,5,17,"FF","FL",1,498,1,"Healthy",617.012,0,1
"Guest07",10,0,5,17,"FF","FL",1,498,1,"Salty",399.002,1,1
"Guest07",10,0,5,18,"FL","FF",1,442,0,"Healthy",383.001,0,1
"Guest07",10,0,5,18,"FL","FF",1,442,0,"Salty",599.001,1,2
"Guest07",10,0,5,2,"FL","FF",1,453,0,"Healthy",449.996,1,2
"Guest07",10,0,5,2,"FL","FF",1,453,0,"Salty",499.994,0,3
"Guest07",10,0,5,20,"FL","FF",1,594,1,"Healthy",949.99,1,3
"Guest07",10,0,5,21,"FF","FL",1,499,1,"Healthy",663.001,0,3
"Guest07",10,0,5,21,"FF","FL",1,499,1,"Salty",583.002,1,2
"Guest07",10,0,5,22,"FL","FF",1,522,0,"Salty",714.995,1,1
"Guest07",10,0,5,25,"FF","FL",1,1176,1,"Healthy",717.004,1,2
"Guest07",10,0,5,28,"FL","FF",1,474,1,"Healthy",334.003,1,2
"Guest07",10,0,5,28,"FL","FF",1,474,1,"Salty",882.993,0,4
"Guest07",10,0,5,31,"FF","FL",1,491,0,"Healthy",415.002,0,2
"Guest07",10,0,5,31,"FF","FL",1,491,0,"Salty",548.979,1,2
"Guest07",10,0,5,34,"FL","FF",1,483,0,"Healthy",316.992,0,2
"Guest07",10,0,5,34,"FL","FF",1,483,0,"Salty",416,1,2
"Guest07",10,0,5,37,"FF","FL",1,514,1,"Healthy",581.99,0,1
"Guest07",10,0,5,37,"FF","FL",1,514,1,"Salty",615.002,1,2
"Guest07",10,0,5,39,"FF","FL",1,502,0,"Healthy",399.002,1,1
"Guest07",10,0,5,42,"FL","FS",1,534,0,"Sugary",566.989,1,2
"Guest07",10,0,5,43,"FS","FL",1,457,0,"Healthy",465.997,1,1
"Guest07",10,0,5,43,"FS","FL",1,457,0,"Sugary",665.011,0,2
"Guest07",10,0,5,44,"FL","FS",1,469,1,"Healthy",282.995,0,1
"Guest07",10,0,5,44,"FL","FS",1,469,1,"Sugary",499.008,1,2
"Guest07",10,0,5,45,"FS","FL",1,407,1,"Healthy",549.005,0,1
"Guest07",10,0,5,45,"FS","FL",1,407,1,"Sugary",917.005,1,2
"Guest07",10,0,5,46,"FL","FS",1,457,0,"Healthy",331.993,0,1
"Guest07",10,0,5,46,"FL","FS",1,457,0,"Sugary",432,1,1
"Guest07",10,0,5,47,"FS","FL",1,584,0,"Healthy",565.005,0,1
"Guest07",10,0,5,47,"FS","FL",1,584,0,"Sugary",899.007,1,3
"Guest07",10,0,5,49,"FS","FL",1,546,1,"Healthy",315.994,0,1
"Guest07",10,0,5,49,"FS","FL",1,546,1,"Sugary",232.998,1,1
"Guest07",10,0,5,5,"FF","FL",1,547,1,"Healthy",831.988,1,4
"Guest07",10,0,5,5,"FF","FL",1,547,1,"Salty",281.997,0,1
"Guest07",10,0,5,50,"FL","FS",1,531,0,"Healthy",517.006,1,3
"Guest07",10,0,5,50,"FL","FS",1,531,0,"Sugary",150.003,0,1
"Guest07",10,0,5,51,"FS","FL",1,472,0,"Healthy",1179.995,0,2
"Guest07",10,0,5,51,"FS","FL",1,472,0,"Sugary",265.996,1,1
"Guest07",10,0,5,53,"FS","FL",1,472,1,"Healthy",448.998,1,2
"Guest07",10,0,5,53,"FS","FL",1,472,1,"Sugary",365.005,0,2
"Guest07",10,0,5,57,"FS","FL",1,543,1,"Healthy",515.994,0,2
"Guest07",10,0,5,57,"FS","FL",1,543,1,"Sugary",315.993,1,1
"Guest07",10,0,5,60,"FL","FS",1,473,1,"Sugary",200,1,1
"Guest07",10,0,5,62,"FL","FS",1,424,0,"Sugary",1502.988,1,3
"Guest07",10,0,5,63,"FS","FL",1,619,0,"Healthy",367.002,0,2
"Guest07",10,0,5,63,"FS","FL",1,619,0,"Sugary",1080.999,1,2
"Guest07",10,0,5,65,"FS","FL",1,437,1,"Healthy",115.994,0,1
"Guest07",10,0,5,65,"FS","FL",1,437,1,"Sugary",333.991,1,1
"Guest07",10,0,5,66,"FL","FS",1,429,0,"Healthy",1180.005,0,4
"Guest07",10,0,5,66,"FL","FS",1,429,0,"Sugary",216,1,1
"Guest07",10,0,5,69,"FS","FL",1,425,1,"Healthy",448.998,0,1
"Guest07",10,0,5,69,"FS","FL",1,425,1,"Sugary",682.01,1,3
"Guest07",10,0,5,7,"FF","FL",1,478,0,"Healthy",651.008,1,2
"Guest07",10,0,5,7,"FF","FL",1,478,0,"Salty",533.005,0,2
"Guest07",10,0,5,73,"FS","FL",1,465,1,"Healthy",732.007,1,2
"Guest07",10,0,5,74,"FL","FS",1,534,0,"Healthy",381.99,1,2
"Guest07",10,0,5,74,"FL","FS",1,534,0,"Sugary",298.995,0,1
"Guest07",10,0,5,76,"FL","FS",1,424,1,"Healthy",299.994,0,1
"Guest07",10,0,5,76,"FL","FS",1,424,1,"Sugary",547.994,1,2
"Guest07",10,0,5,79,"FS","FL",1,426,0,"Healthy",798.004,1,2
"Guest07",10,0,5,79,"FS","FL",1,426,0,"Sugary",664.998,0,1
"Guest07",10,0,5,8,"FL","FF",1,482,1,"Salty",283.008,1,1
"Guest07",10,0,5,80,"FL","FS",1,378,1,"Sugary",965.99,1,3
"Guest07",10,0,5,9,"FF","FL",1,416,1,"Healthy",599.001,1,2
"Guest09",90,70,80,1,"FF","FL",1,671,1,"Healthy",516.007,0,3
"Guest09",90,70,80,1,"FF","FL",1,671,1,"Salty",317.005,1,2
"Guest09",90,70,80,10,"FL","FF",1,643,0,"Healthy",764.992,1,3
"Guest09",90,70,80,10,"FL","FF",1,643,0,"Salty",367.001,0,2
"Guest09",90,70,80,11,"FF","FL",1,805,0,"Healthy",265.997,0,1
"Guest09",90,70,80,11,"FF","FL",1,805,0,"Salty",648.001,1,2
"Guest09",90,70,80,12,"FL","FF",1,902,1,"Healthy",798.989,1,2
"Guest09",90,70,80,12,"FL","FF",1,902,1,"Salty",367.002,0,2
"Guest09",90,70,80,13,"FF","FL",1,743,1,"Healthy",532.007,0,2
"Guest09",90,70,80,13,"FF","FL",1,743,1,"Salty",166.988,1,1
"Guest09",90,70,80,15,"FF","FL",1,764,0,"Healthy",330.995,0,2
